City/Town,,,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
Abington,,,"4,115","4,017",417,102,0,0,0,0,0,101,0,160,"8,912"
Acton,,,"9,198","2,555",552,208,40,0,0,0,0,230,0,184,"12,967"
Acushnet,,,"2,401","2,834",174,87,5,0,0,0,0,65,0,106,"5,672"
Adams,,,"2,413","1,285",189,80,11,0,0,0,0,43,0,59,"4,080"
Agawam,,,"6,208","7,421",651,208,9,0,0,0,0,188,0,192,"14,877"
Alford,,,226,52,8,8,0,0,0,0,0,5,0,8,307
Amesbury,,,"5,174","3,231",527,151,13,0,0,0,0,145,0,161,"9,402"
Amherst,,,"12,357","1,248",445,613,11,0,0,0,0,253,0,139,"15,066"
Andover,,,"11,222","6,522",895,202,43,0,0,0,0,335,0,353,"19,572"
Aquinnah,,,232,34,6,7,0,0,0,0,0,5,0,3,287
Arlington,,,"20,539","4,652",732,457,51,0,0,0,0,430,0,410,"27,271"
Ashburnham,,,"1,439","1,522",247,66,3,0,0,0,0,75,0,47,"3,399"
Ashby,,,722,974,129,45,1,0,0,0,0,20,0,42,"1,933"
Ashfield,,,836,184,52,44,2,0,0,12,0,2,0,23,"1,155"
Ashland,,,"5,684","2,768",457,105,0,0,0,0,0,0,0,312,"9,326"
Athol,,,"2,076","2,335",328,116,0,0,0,0,0,135,0,66,"5,056"
Attleboro,,,"10,518","8,571","1,032",321,0,0,0,0,0,130,0,309,"20,881"
Auburn,,,"4,496","4,000",553,92,21,0,0,0,0,136,0,157,"9,455"
Avon,,,"1,254","1,068",79,40,1,0,0,0,0,16,0,54,"2,512"
Ayer,,,"2,162","1,498",292,65,0,0,0,0,0,118,0,41,"4,176"
Barnstable,,,"13,005","11,195","1,049",348,45,0,0,0,0,387,0,351,"26,380"
Barre,,,"1,201","1,429",164,58,7,0,0,0,0,42,0,35,"2,936"
Becket,,,571,368,37,25,6,0,0,0,0,22,0,18,"1,047"
Bedford,,,"5,085","2,211",404,92,0,0,0,0,0,162,0,112,"8,066"
Belchertown,,,"4,408","3,153",392,192,0,0,0,0,0,91,0,182,"8,418"
Bellingham,,,"4,033","4,059",502,100,0,0,0,0,0,174,0,114,"8,982"
Belmont,,,"10,252","3,106",561,237,69,0,0,0,0,250,0,216,"14,691"
Berkley,,,"1,455","1,926",149,51,0,0,0,0,0,56,0,42,"3,679"
Berlin,,,"1,009",745,124,38,3,0,0,0,0,20,0,27,"1,966"
Bernardston,,,711,382,81,27,0,0,0,0,0,27,0,16,"1,244"
Beverly,,,"13,185","6,904","1,142",332,69,0,0,0,0,319,0,462,"22,413"
Billerica,,,"10,100","10,319",976,264,0,0,0,0,0,423,0,276,"22,358"
Blackstone,,,"1,850","2,327",254,59,6,0,0,0,0,49,0,78,"4,623"
Blandford,,,256,405,28,8,2,0,0,0,0,8,0,10,717
Bolton,,,"1,891","1,036",230,54,14,0,0,0,0,67,0,53,"3,345"
Boston,,,"221,093","38,087","7,025","3,969",106,0,0,2,0,"4,147",0,"2,937","277,366"
Bourne,,,"4,910","5,201",442,129,4,0,0,0,0,180,0,169,"11,035"
Boxborough,,,"1,987",756,159,36,18,0,0,0,0,70,0,43,"3,069"
Boxford,,,"2,454","2,194",297,35,0,0,0,0,0,140,0,88,"5,208"
Boylston,,,"1,424","1,125",176,35,0,0,0,0,0,56,0,45,"2,861"
Braintree,,,"10,469","8,427",766,216,1,0,0,0,0,386,0,361,"20,626"
Brewster,,,"3,813","2,370",297,112,0,0,0,0,0,95,0,128,"6,815"
Bridgewater,,,"5,718","6,261",624,167,0,0,0,0,0,220,0,150,"13,140"
Brimfield,,,793,"1,113",117,34,5,0,0,0,0,16,0,48,"2,126"
